day_of_the_week,hour_of_the_day,is_holiday,electricity_demand_hour1,electricity_demand_h2,electricity_demand_h3,electricity_demand_h24,electricity_demand_h25,electricity_demand_h26,hour_ahead_price_h1,hour_ahead_price_h2,hour_ahead_price_h3,hour_ahead_price_h24,hour_ahead_price_h25,hour_ahead_price_h26,hour_ahead_price_h48,hour_ahead_price_h49,hour_ahead_price_h50
5,3,0,864.00182,986.0351200000003,1105.4488,678.36072,690.8542000000002,732.05206,0.02561,0.02808,0.02991,0.00192,0.00702,0.00766,0.01209,0.01296,0.01515
5,4,0,837.3165400000003,864.00182,986.0351200000003,687.2664,678.36072,690.8542000000002,0.01902,0.02561,0.02808,-5e-05,0.00192,0.00702,0.0117,0.01209,0.01296
5,5,0,747.85214,837.3165400000003,864.00182,709.2244399999997,687.2664,678.36072,0.01315,0.01902,0.02561,6e-05,-5e-05,0.00192,0.01166,0.0117,0.01209
5,6,0,791.9877399999997,747.85214,837.3165400000003,823.1839200000002,709.2244399999997,687.2664,0.01601,0.01315,0.01902,0.00706,6e-05,-5e-05,0.01135,0.01166,0.0117
5,7,0,884.2795399999995,791.9877399999997,747.85214,877.1851999999998,823.1839200000002,709.2244399999997,0.02777,0.01601,0.01315,0.02933,0.00706,6e-05,0.00985,0.01135,0.01166
5,8,0,929.2242000000003,884.2795399999995,791.9877399999997,955.2785600000004,877.1851999999998,823.1839200000002,0.02914,0.02777,0.01601,0.02986,0.02933,0.00706,0.02051,0.00985,0.01135
5,9,0,1111.77966,929.2242000000003,884.2795399999995,1044.4922800000002,955.2785600000004,877.1851999999998,0.03078,0.02914,0.02777,0.03044,0.02986,0.02933,0.02697,0.02051,0.00985
5,10,0,4824.356159999999,1111.77966,929.2242000000003,1077.54278,1044.4922800000002,955.2785600000004,0.03119,0.03078,0.02914,0.03063,0.03044,0.02986,0.02654,0.02697,0.02051
5,11,0,3323.1972600000004,4824.356159999999,1111.77966,1102.0874199999998,1077.54278,1044.4922800000002,0.03118,0.03119,0.03078,0.03086,0.03063,0.03044,0.02759,0.02654,0.02697
5,12,0,1224.20756,3323.1972600000004,4824.356159999999,7174.340280000001,1102.0874199999998,1077.54278,0.03095,0.03118,0.03119,0.03104,0.03086,0.03063,0.02843,0.02759,0.02654
5,13,0,1113.9421399999999,1224.20756,3323.1972600000004,1038.3430200000003,7174.340280000001,1102.0874199999998,0.03091,0.03095,0.03118,0.03097,0.03104,0.03086,0.02868,0.02843,0.02759
5,14,0,1211.30282,1113.9421399999999,1224.20756,1112.81716,1038.3430200000003,7174.340280000001,0.03074,0.03091,0.03095,0.03104,0.03097,0.03104,0.02882,0.02868,0.02843
5,15,0,11286.376460000001,1211.30282,1113.9421399999999,1171.68348,1112.81716,1038.3430200000003,0.03063,0.03074,0.03091,0.03111,0.03104,0.03097,0.02906,0.02882,0.02868
5,16,0,1175.3337399999998,11286.376460000001,1211.30282,1255.4410400000002,1171.68348,1112.81716,0.03046,0.03063,0.03074,0.03141,0.03111,0.03104,0.02939,0.02906,0.02882
5,17,0,1145.8320600000002,1175.3337399999998,11286.376460000001,1170.9067400000006,1255.4410400000002,1171.68348,0.03043,0.03046,0.03063,0.03198,0.03141,0.03111,0.03139,0.02939,0.02906
5,18,0,1112.74946,1145.8320600000002,1175.3337399999998,1291.7697200000002,1170.9067400000006,1255.4410400000002,0.03084,0.03043,0.03046,0.03227,0.03198,0.03141,0.03288,0.03139,0.02939
5,19,0,1200.4319400000002,1112.74946,1145.8320600000002,1353.8223,1291.7697200000002,1170.9067400000006,0.03102,0.03084,0.03043,0.03192,0.03227,0.03198,0.03222,0.03288,0.03139
5,20,0,1216.1736000000003,1200.4319400000002,1112.74946,1277.7445400000001,1353.8223,1291.7697200000002,0.03078,0.03102,0.03084,0.03145,0.03192,0.03227,0.03063,0.03222,0.03288
5,21,0,1234.9210000000003,1216.1736000000003,1200.4319400000002,1299.1430400000004,1277.7445400000001,1353.8223,0.03033,0.03078,0.03102,0.03094,0.03145,0.03192,0.02934,0.03063,0.03222
5,22,0,6748.2255399999995,1234.9210000000003,1216.1736000000003,1246.1177999999998,1299.1430400000004,1277.7445400000001,0.02966,0.03033,0.03078,0.03078,0.03094,0.03145,0.02919,0.02934,0.03063
5,23,0,1361.66838,6748.2255399999995,1234.9210000000003,1240.78456,1246.1177999999998,1299.1430400000004,0.02872,0.02966,0.03033,0.03042,0.03078,0.03094,0.02872,0.02919,0.02934
5,24,0,1015.0245,1361.66838,6748.2255399999995,1105.4488,1240.78456,1246.1177999999998,0.0261,0.02872,0.02966,0.02991,0.03042,0.03078,0.0159,0.02872,0.02919
6,1,0,791.51988,1015.0245,1361.66838,986.0351200000003,1105.4488,1240.78456,0.01167,0.0261,0.02872,0.02808,0.02991,0.03042,0.00766,0.0159,0.02872
6,2,0,660.1246799999999,791.51988,1015.0245,864.00182,986.0351200000003,1105.4488,0.01007,0.01167,0.0261,0.02561,0.02808,0.02991,0.00702,0.00766,0.0159
6,3,0,612.3658600000001,660.1246799999999,791.51988,837.3165400000003,864.00182,986.0351200000003,0.00984,0.01007,0.01167,0.01902,0.02561,0.02808,0.00192,0.00702,0.00766
6,4,0,606.8528,612.3658600000001,660.1246799999999,747.85214,837.3165400000003,864.00182,0.00793,0.00984,0.01007,0.01315,0.01902,0.02561,-5e-05,0.00192,0.00702
6,5,0,616.8666400000002,606.8528,612.3658600000001,791.9877399999997,747.85214,837.3165400000003,0.00523,0.00793,0.00984,0.01601,0.01315,0.01902,6e-05,-5e-05,0.00192
6,6,0,645.93456,616.8666400000002,606.8528,884.2795399999995,791.9877399999997,747.85214,0.00518,0.00523,0.00793,0.02777,0.01601,0.01315,0.00706,6e-05,-5e-05
6,7,0,694.1301399999999,645.93456,616.8666400000002,929.2242000000003,884.2795399999995,791.9877399999997,0.00896,0.00518,0.00523,0.02914,0.02777,0.01601,0.02933,0.00706,6e-05
6,8,0,2964.6684200000013,694.1301399999999,645.93456,1111.77966,929.2242000000003,884.2795399999995,0.00872,0.00896,0.00518,0.03078,0.02914,0.02777,0.02986,0.02933,0.00706
6,9,0,1019.7781200000004,2964.6684200000013,694.1301399999999,4824.356159999999,1111.77966,929.2242000000003,0.01798,0.00872,0.00896,0.03119,0.03078,0.02914,0.03044,0.02986,0.02933
6,10,0,1007.0642800000002,1019.7781200000004,2964.6684200000013,3323.1972600000004,4824.356159999999,1111.77966,0.02785,0.01798,0.00872,0.03118,0.03119,0.03078,0.03063,0.03044,0.02986
