starting,ending,energy_market_price
2013-09-01 00:00:00,2013-09-01 02:00:00,0.03253
2013-09-01 01:00:00,2013-09-01 03:00:00,0.03134
2013-09-01 02:00:00,2013-09-01 04:00:00,0.03075
2013-09-01 03:00:00,2013-09-01 05:00:00,0.03062
2013-09-01 04:00:00,2013-09-01 06:00:00,0.03031
2013-09-01 05:00:00,2013-09-01 07:00:00,0.02998
2013-09-01 06:00:00,2013-09-01 08:00:00,0.03068
2013-09-01 07:00:00,2013-09-01 09:00:00,0.03332
2013-09-01 08:00:00,2013-09-01 10:00:00,0.03518
2013-09-01 09:00:00,2013-09-01 11:00:00,0.03549
2013-09-01 10:00:00,2013-09-01 12:00:00,0.03578
2013-09-01 11:00:00,2013-09-01 13:00:00,0.03546
2013-09-01 12:00:00,2013-09-01 14:00:00,0.03527
2013-09-01 13:00:00,2013-09-01 15:00:00,0.03525
2013-09-01 14:00:00,2013-09-01 16:00:00,0.03511
2013-09-01 15:00:00,2013-09-01 17:00:00,0.0351
2013-09-01 16:00:00,2013-09-01 18:00:00,0.03534
2013-09-01 17:00:00,2013-09-01 19:00:00,0.03568
2013-09-01 18:00:00,2013-09-01 20:00:00,0.03567
2013-09-01 19:00:00,2013-09-01 21:00:00,0.0362
2013-09-01 20:00:00,2013-09-01 22:00:00,0.03817
2013-09-01 21:00:00,2013-09-01 23:00:00,0.037
2013-09-01 22:00:00,2013-09-02 00:00:00,0.03631
2013-09-01 23:00:00,2013-09-02 01:00:00,0.03406
2013-09-02 00:00:00,2013-09-02 02:00:00,0.03083
2013-09-02 01:00:00,2013-09-02 03:00:00,0.02897
2013-09-02 02:00:00,2013-09-02 04:00:00,0.02722
2013-09-02 03:00:00,2013-09-02 05:00:00,0.02861
2013-09-02 04:00:00,2013-09-02 06:00:00,0.03058
2013-09-02 05:00:00,2013-09-02 07:00:00,0.03261
2013-09-02 06:00:00,2013-09-02 08:00:00,0.03799
2013-09-02 07:00:00,2013-09-02 09:00:00,0.04332
2013-09-02 08:00:00,2013-09-02 10:00:00,0.04655
2013-09-02 09:00:00,2013-09-02 11:00:00,0.04449
2013-09-02 10:00:00,2013-09-02 12:00:00,0.04287
2013-09-02 11:00:00,2013-09-02 13:00:00,0.0434
2013-09-02 12:00:00,2013-09-02 14:00:00,0.04337
2013-09-02 13:00:00,2013-09-02 15:00:00,0.04338
2013-09-02 14:00:00,2013-09-02 16:00:00,0.0435
2013-09-02 15:00:00,2013-09-02 17:00:00,0.0438
2013-09-02 16:00:00,2013-09-02 18:00:00,0.03974
2013-09-02 17:00:00,2013-09-02 19:00:00,0.03937
2013-09-02 18:00:00,2013-09-02 20:00:00,0.03885
2013-09-02 19:00:00,2013-09-02 21:00:00,0.04075
2013-09-02 20:00:00,2013-09-02 22:00:00,0.0432
2013-09-02 21:00:00,2013-09-02 23:00:00,0.03923
2013-09-02 22:00:00,2013-09-03 00:00:00,0.03749
