day_of_the_week,hour_of_the_day,is_holiday,electricity_demand_hour1,electricity_demand_h2,electricity_demand_h3,electricity_demand_h24,electricity_demand_h25,electricity_demand_h26,hour_ahead_price_h1,hour_ahead_price_h2,hour_ahead_price_h3,hour_ahead_price_h24,hour_ahead_price_h25,hour_ahead_price_h26,hour_ahead_price_h48,hour_ahead_price_h49,hour_ahead_price_h50
2,3,0,5.880000000000002,1.92,1.7999999999999996,6.360000000000002,1.0799999999999998,1.6800000000000006,0.03566,0.03599,0.03562,0.02722,0.02897,0.03083,0.03075,0.03134,0.03253
2,4,0,1.0799999999999998,5.880000000000002,1.92,1.4400000000000004,6.360000000000002,1.0799999999999998,0.03565,0.03566,0.03599,0.02861,0.02722,0.02897,0.03062,0.03075,0.03134
2,5,0,1.2,1.0799999999999998,5.880000000000002,1.4400000000000004,1.4400000000000004,6.360000000000002,0.03566,0.03565,0.03566,0.03058,0.02861,0.02722,0.03031,0.03062,0.03075
2,6,0,1.7999999999999996,1.2,1.0799999999999998,1.0799999999999998,1.4400000000000004,1.4400000000000004,0.03583,0.03566,0.03565,0.03261,0.03058,0.02861,0.02998,0.03031,0.03062
2,7,0,1.5599999999999996,1.7999999999999996,1.2,1.4400000000000004,1.0799999999999998,1.4400000000000004,0.03742,0.03583,0.03566,0.03799,0.03261,0.03058,0.03068,0.02998,0.03031
2,8,0,1.6800000000000006,1.5599999999999996,1.7999999999999996,1.2,1.4400000000000004,1.0799999999999998,0.0476,0.03742,0.03583,0.04332,0.03799,0.03261,0.03332,0.03068,0.02998
2,9,0,1.0799999999999998,1.6800000000000006,1.5599999999999996,1.3200000000000005,1.2,1.4400000000000004,0.05597,0.0476,0.03742,0.04655,0.04332,0.03799,0.03518,0.03332,0.03068
2,10,0,1.0799999999999998,1.0799999999999998,1.6800000000000006,1.0799999999999998,1.3200000000000005,1.2,0.05741,0.05597,0.0476,0.04449,0.04655,0.04332,0.03549,0.03518,0.03332
2,11,0,1.92,1.0799999999999998,1.0799999999999998,1.2,1.0799999999999998,1.3200000000000005,0.06222,0.05741,0.05597,0.04287,0.04449,0.04655,0.03578,0.03549,0.03518
2,12,0,1.92,1.92,1.0799999999999998,6.599999999999999,1.2,1.0799999999999998,0.06806,0.06222,0.05741,0.0434,0.04287,0.04449,0.03546,0.03578,0.03549
2,13,0,1.92,1.92,1.92,1.5599999999999996,6.599999999999999,1.2,0.06362,0.06806,0.06222,0.04337,0.0434,0.04287,0.03527,0.03546,0.03578
2,14,0,1.6800000000000006,1.92,1.92,1.3200000000000005,1.5599999999999996,6.599999999999999,0.06136,0.06362,0.06806,0.04338,0.04337,0.0434,0.03525,0.03527,0.03546
2,15,0,1.7999999999999996,1.6800000000000006,1.92,1.3200000000000005,1.3200000000000005,1.5599999999999996,0.05716,0.06136,0.06362,0.0435,0.04338,0.04337,0.03511,0.03525,0.03527
2,16,0,1.92,1.7999999999999996,1.6800000000000006,1.92,1.3200000000000005,1.3200000000000005,0.05546,0.05716,0.06136,0.0438,0.0435,0.04338,0.0351,0.03511,0.03525
2,17,0,1.7999999999999996,1.92,1.7999999999999996,3.48,1.92,1.3200000000000005,0.05557,0.05546,0.05716,0.03974,0.0438,0.0435,0.03534,0.0351,0.03511
2,18,0,1.7999999999999996,1.7999999999999996,1.92,1.6800000000000006,3.48,1.92,0.05398,0.05557,0.05546,0.03937,0.03974,0.0438,0.03568,0.03534,0.0351
2,19,0,3.24,1.7999999999999996,1.7999999999999996,1.3200000000000005,1.6800000000000006,3.48,0.05796,0.05398,0.05557,0.03885,0.03937,0.03974,0.03567,0.03568,0.03534
